criterion_id,criterion_name,sub_criterion_id,sub_criterion_name,definition,source_property_logic,status_notes
4,Ethics,4.c,Ethically Disseminated,"Specify a licensing agreement and/or data use agreement (DUA), or contact information to establish a DUA, on as open terms as ethical and sustainability considerations permit. Specify contact information for a data access committee, if needed to review requests for controlled data.","root['license'], prohibited-uses, rai:personalSensitiveInformation","Directly Mapped. The license, prohibited uses, and documentation of sensitive info are direct evidence."
4,Ethics,4.d,Secure,Specify security requirements for storing and accessing this data,root['confidentialityLevel'],Directly Mapped. This field indicates the security posture.
5,Sustainability,5.a,Persistent,"Ensure that unprocessed data is preserved in an archive adhering to privacy laws and retention guidelines, enabling future reprocessing and updated publishing of revised data.","root['@id'], root['identifier'] (DOI)",Directly Mapped. Evidence is the use of persistent identifiers.
5,Sustainability,5.b,Domain-appropriate,Ensure single domain raw or processed data (as appropriate) is deposited in a FAIR domain-appropriate specialist repository if available,maintenance-plan (from rai:dataReleaseMaintenancePlan),Directly Mapped. Replaced original sub-criterion with the more concrete `maintenance-plan` property to fulfill the spirit of long-term planning.
5,Sustainability,5.c,Well-governed,"Select a repository that facilitates how data will be stewarded in the future and governance that accounts for maintenance, terms and policy changes, and fairness.","root['additionalProperty'] where name is ""Data Governance Committee""",Inferred. Evidence of a named governance body.
5,Sustainability,5.d,Associated,Document project-level connections between data components and elements in a machine-readable manner.,"Default Statement: ""All data, software, and computations are explicitly linked within the RO-Crate's provenance graph.""",Inferred. The nature of a well-formed RO-Crate is that its components are associated.
6,Computability,6.a,Standardized,"Datasets follow established, documented standards and their adherence to standards may be validated deterministically.",Logic: List all unique `format` values from `Dataset` and `Software` entities.,Inferred. Provides a summary of the standardized file formats used in the crate.
6,Computability,6.b,Computationally Accessible,Provide a mechanism to access data either through established exchange protocols or a well-documented API.,"Default Statement: ""Data is hosted in public repositories (e.g., NCBI, MassIVE, Dataverse) that support programmatic access.""","Inferred. Assumes the publisher is a repository with an API, which is standard for FAIR data."
6,Computability,6.c,Portable,"Maximize portability across computational resources where possible. If working with the data requires specific resources, provide machine-readable documentation defining these resources.","Default Statement: ""The dataset is packaged as a self-contained RO-Crate, a standard designed for portability across systems.""",Inferred. The use of the RO-Crate standard itself is the evidence for portability.
6,Computability,6.d,Contextualized,"Include any considerations regarding splits of the data, including any information withheld at any point of data collection and processing. If possible, provide examples of data components to facilitate understanding of their general structure and content.","Default Statement: ""Context is provided by the RO-Crate's graph structure and detailed in properties such as `rai:dataLimitations`.""",Inferred. The combination of the graph's structure and specific metadata fields provides context.
